SMILE,IC50,Source
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,0.083,Pubchem
CC[C@@H]1C2=C(N=CN2C3=CN=C(N=C3N1C(C)C)NC4=C(C=C(C(=C4)F)C(=O)NC5CCN(CC5)CC)OC)C#N,0.4,Pubchem
CN(C)C1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)NC4=C(SC=C4)C(=O)OC)[N+](=O)[O-])OC,0.508,Pubchem
CN1CCN(CC1)C2CCN(CC2)C3=CC=C(C=C3)NC4=NC=C(C(=N4)NC5=C(SC=C5)C(=O)OC)[N+](=O)[O-],0.508,Pubchem
CN(C)CC(=O)N1CCC2=CC(=C(C=C21)NC3=NC=C(C(=N3)NC4=CC=CC=C4C(=O)OC)[N+](=O)[O-])OC,0.508,Pubchem
COC1=C(C=CC(=C1)N2CCC(CC2)N3CCCC3)NC4=NC=C(C(=N4)NC5=CC=CC=C5C(=O)OC)[N+](=O)[O-],0.508,Pubchem
CN(C)CC(=O)N1CCC2=CC(=C(C=C21)NC3=NC=C(C(=N3)NC4=C(SC=C4)C(=O)OC)C(F)(F)F)OC,0.508,Pubchem
CN(C)C1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=CC=C4C(=O)OC)[N+](=O)[O-])OC,0.577,Pubchem
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,0.8,Pubchem
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=CC(=C(C=C43)OC)OC)C(=O)N,0.8,Pubchem
CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2F)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5)OC,0.8,Pubchem
