SMILE,Source,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
COc1cc2ncn(-c3cc(OCc4ccccc4C#N)c(C(N)=O)s3)c2cc1OC,CHEMBL,active,434.4770000000002,3.653780000000001,1.0,8.0,8.221848749616356
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1CC3=CC(=CC=C3)Br)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OCC)C,Pubchem,active,636.5949999999998,4.967000000000005,2.0,8.0,6.958607314841775
C1=CC=C(C(=C1)COC2=C(SC(=C2)N3C=NC4=CC=CC=C43)C(=O)N)Br,Pubchem,active,428.3110000000001,4.527400000000003,1.0,5.0,7.958607314841775
COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C(C)C)[C@H](C)C(=O)N2C,CHEMBL,active,481.60100000000017,2.6325000000000003,2.0,8.0,7.598599459218456
CCOC(=O)/C(C#N)=c1\s/c(=C/Nc2ccc(NC(=O)NCCN3CCCC3)cc2)c(=O)n1CC,CHEMBL,active,498.60900000000044,1.23448,3.0,9.0,7.431798275933005
CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC2=CN=CN2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@@H]4CCCN4C(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)C,Pubchem,active,1531.6869999999997,-4.831300000000016,19.0,21.0,6.920818753952375
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3OC(F)(F)F)ncc1CC2,CHEMBL,active,404.35200000000015,2.716800000000001,2.0,7.0,6.931814138253839
COc1cc(C(=O)NC2CCN(C)CC2)c(Cl)cc1Nc1ncc2c(n1)N(C1CCCC1)CC(F)(F)C(=O)N2C,CHEMBL,active,578.0640000000002,4.066900000000003,2.0,8.0,9.0
CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C[C@@H](C(=O)N4C)CC=C)C5CCCC5)OC,Pubchem,active,547.7040000000004,3.970500000000003,2.0,8.0,9.0
C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)C5=CC=CC=C5)C(=O)N,Pubchem,active,507.5370000000002,7.011700000000006,1.0,5.0,7.7447274948966935
CN1CCN(CC1)C2=CC(=C(C=C2)OC)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C,Pubchem,active,448.5310000000003,1.5785999999999998,2.0,9.0,8.154901959985743
CN1CCC(CC1)C(=O)NC2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C,Pubchem,active,544.5380000000001,2.9971000000000005,3.0,9.0,6.649751981665837
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1CCCCCCC2=CC=CC=C2)NC(=O)[C@H](CC(C)C)NC(=O)C3CCCN3C(=O)C)OP(=O)(O)O,Pubchem,active,834.9090000000001,0.20030000000001202,8.0,11.0,7.259637310505756
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCCC5)C)C,Pubchem,active,476.6250000000003,4.705020000000004,2.0,6.0,8.24033215531037
C[C@@H](Oc1cc(-n2cnc3ccc(-c4cnn(C)c4)cc32)sc1C(N)=O)c1ccccc1Cl,CHEMBL,active,477.9770000000002,5.379800000000003,1.0,7.0,9.0
NC(=O)c1sc(-n2cnc3cc(C(F)(F)F)ccc32)cc1OCc1ccccc1Br,CHEMBL,active,496.3080000000001,5.5462000000000025,1.0,5.0,6.522878745280337
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=CC=C(C=C4)S(=O)(=O)NCCO)C,Pubchem,active,474.58700000000016,1.9947999999999997,3.0,8.0,7.60624935965192
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4CCCCC4)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)C,Pubchem,active,573.7460000000003,4.793320000000004,2.0,10.0,7.657577319177793
CC1=[N+](C=CC2=C1N(C3=C2C=CC(=C3)OCC4=CC=CC=C4)CC5=CC=CC=C5)CC6=CC=CC=C6.[Br-],Pubchem,active,549.5120000000002,4.070020000000004,0.0,2.0,6.278189384787454
CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc5c(n4C)CCNC5=O)n3)c2)CC1,CHEMBL,active,501.5130000000003,3.1620000000000017,2.0,8.0,8.045757490560675
CN(C)CCCc1cccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=O)C3)c1,CHEMBL,active,421.93200000000013,4.529400000000003,2.0,5.0,7.4089353929735005
CCC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC6CCCC6)C,Pubchem,active,589.7850000000001,5.259700000000005,2.0,8.0,7.327902142064283
COC(=O)c1sccc1Nc1nc(Nc2ccc(N3CCC(O)CC3)cc2)ncc1[N+](=O)[O-],CHEMBL,active,470.51100000000037,3.6812000000000022,3.0,11.0,8.896196279044043
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,Pubchem,active,521.6660000000003,3.5568000000000026,2.0,8.0,9.080921907623926
CC1=NC2=C(N1)C3(CCN(CC3)CC4=CC=CC=C4)C(=C(O2)N)C#N.Cl,Pubchem,active,371.872,2.760000000000001,2.0,5.0,6.113509274827518
NC(=O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=O)C3)cc1,CHEMBL,active,379.80700000000013,3.134100000000001,3.0,5.0,7.6777807052660805
Cc1cc(C)cc(-c2noc3cnc(N[C@@H](C)c4ccccc4)cc23)c1,CHEMBL,active,343.43000000000006,5.679740000000004,1.0,4.0,6.481486060122113
C[C@@H](Oc1cc(-n2cnc3ccc(OCCCN(C)C)cc32)sc1C(N)=O)c1ccccc1Cl,CHEMBL,active,499.0360000000002,5.309800000000005,1.0,7.0,8.397940008672037
CN1C2=C(CCC3=CN=C(N=C32)NC4=CC=CC=C4OC(F)(F)F)C(=N1)C(=O)N,Pubchem,active,404.35200000000015,2.7168,2.0,7.0,6.931814138253839
CNC(=O)C1=NN(C2=C1CCC3=CN=C(N=C32)NC4=C(C=CC(=C4)N5CCN(CC5)C)OC)C,Pubchem,active,462.55800000000033,1.8392999999999997,2.0,9.0,7.585026652029182
CC[C@@H]1C(=O)N(C)c2cnc(-n3ccc4cc(C(N)=O)ccc43)nc2N1C1CCCC1,CHEMBL,active,418.50100000000026,3.0234000000000014,1.0,6.0,6.546375926408549
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,Pubchem,active,521.6660000000003,3.5568000000000026,2.0,8.0,8.585026652029182
CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cncn1CCCCCCCCc1ccc(CCO)cc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,CHEMBL,active,907.0160000000004,0.5153000000000092,9.0,12.0,6.661543506395395
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F)OC,Pubchem,active,477.46400000000017,4.800900000000002,1.0,7.0,8.698970004336019
COc1ccc(Nc2ncc3c(n2)-c2ccc(C(F)(F)F)cc2NC(=O)C3)cc1OC,CHEMBL,active,430.3860000000002,4.417800000000002,2.0,6.0,7.7447274948966935
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3OC(F)(F)F)ncc1CC2,CHEMBL,active,404.35200000000015,2.716800000000001,2.0,7.0,6.931814138253839
Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCNCC4)ccc3OC(F)(F)F)ncc1CC2,CHEMBL,active,488.4740000000002,2.1264000000000003,3.0,9.0,8.698970004336019
CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)[C@H](CO)C1,CHEMBL,active,532.5270000000003,1.8295000000000008,3.0,10.0,6.696803942579511
C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(N)n4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F,CHEMBL,active,524.5280000000002,5.383900000000002,2.0,8.0,9.0
CC1=CC=C(C=C1)COC2=C(SC(=C2)N3C=NC4=CC=CC=C43)C(=O)N,Pubchem,active,363.4420000000001,4.073320000000003,1.0,5.0,6.899629454882437
CN(C)CCCc1ccc(OC(F)(F)F)c(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1,CHEMBL,active,521.9960000000002,6.228800000000004,2.0,6.0,8.154901959985743
C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CO)cc1Cl,CHEMBL,active,427.9130000000001,4.447400000000003,2.0,6.0,8.309803919971486
COc1cc2ncn(-c3cc(OCc4ccccc4OC(F)(F)F)c(C(N)=O)s3)c2cc1OC,CHEMBL,active,493.4630000000002,4.680700000000003,1.0,8.0,8.301029995663981
CN1C2=C(CCC3=CN=C(N=C32)NC4=C(C=CC(=C4)N5CCN(CC5)CCCN(C)C)OC(F)(F)F)C(=N1)C(=O)N,Pubchem,active,573.6240000000003,2.7904999999999998,2.0,10.0,7.337242168318426
CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccc(Cl)c(Cl)c1)NC(C)=O)[C@@H](C)OP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(N)=O,CHEMBL,active,1635.5189999999998,-3.7578000000000307,19.0,21.0,7.105573162035812
CC1=C2C=NC(=NN2C(=N1)C3=CC(=CC=C3)Br)NC4=CC(=C(C(=C4)OC)OC)OC,Pubchem,active,470.3270000000003,4.631620000000003,1.0,8.0,7.154901959985743
CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C4C(=CN(C4=N3)C5=CC=CC(=N5)C6(COC6)F)F,Pubchem,active,477.51900000000023,3.6450000000000022,1.0,8.0,7.619788758288394
CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C,CHEMBL,active,618.8270000000002,4.2672000000000025,2.0,9.0,9.060480747381382
CN1C2=C(CCC3=CN=C(N=C32)NC4=C(C=CC(=C4)NC5CCCN5)OC(F)(F)F)C(=N1)C(=O)N,Pubchem,active,488.4740000000002,2.8381999999999996,4.0,9.0,7.080921907623926
CN1CCN([C@@H](C1)CO)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C,Pubchem,active,532.5270000000002,1.8294999999999997,3.0,10.0,6.696803942579511
Cn1cncc1-c1cc(OCc2ccccc2C(F)(F)F)c(C(N)=O)s1,CHEMBL,active,381.3790000000001,3.8453000000000026,1.0,5.0,6.366531544420414
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,Pubchem,active,521.6660000000003,3.5568000000000026,2.0,8.0,6.080921907623926
CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NCCN4CCN(C)CC4)cc3OCCO)nc2N1C1CCCC1,CHEMBL,active,580.7340000000002,2.072500000000001,3.0,10.0,7.673459331483438
Cc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL,active,334.3830000000001,2.12662,2.0,6.0,7.823908740944319
C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=NC(=NC=C5)N)C(=O)N,Pubchem,active,524.5280000000001,5.383900000000004,2.0,8.0,9.0
